country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
FRA,Freestyle Skiing,Men's Dual Moguls,0.0,0.0,1.0,1.0,Benjamin Cavet,0.0
FRA,Freestyle Skiing,Women's Moguls,0.0,0.0,1.0,1.0,Perrine Laffont,0.0
FRA,Freestyle Skiing,Women's Dual Moguls,1.0,0.0,0.0,1.0,Perrine Laffont,1.0
FRA,Freestyle Skiing,Women's Slopestyle,0.0,0.0,1.0,1.0,Tess Ledeux,0.0
FRA,Biathlon,Men's 4x7.5km Relay,0.0,1.0,0.0,1.0,Team France,0.0
FRA,Biathlon,Mixed Relay,0.0,1.0,0.0,1.0,Team France,0.0
GBR,Snowboard,Women's Snowboard Cross,1.0,0.0,0.0,1.0,Charlotte Bankes,1.0
GBR,Skeleton,Men's Skeleton,0.0,1.0,0.0,1.0,Matt Weston,0.0
GER,Alpine Skiing,Women's Super-G,0.0,0.0,1.0,1.0,Kira Weidle-Winkelmann,0.0
GER,Cross-Country Skiing,Women's Team Sprint,1.0,0.0,0.0,1.0,Team Germany,1.0
GER,Cross-Country Skiing,Men's 4x10km Relay,1.0,0.0,0.0,1.0,Team Germany,1.0
GER,Biathlon,Men's 10km Sprint,0.0,1.0,0.0,1.0,Philipp Nawrath,0.0
GER,Biathlon,Men's 15km Mass Start,0.0,0.0,1.0,1.0,Philipp Nawrath,0.0
GER,Biathlon,Women's 15km Individual,0.0,0.0,1.0,1.0,Franziska Preuss,0.0
GER,Freestyle Skiing,Men's Ski Cross,0.0,0.0,1.0,1.0,Florian Wilmsmann,0.0
GER,Freestyle Skiing,Women's Ski Cross,0.0,1.0,0.0,1.0,Daniela Maier,0.0
GER,Snowboard,Women's Parallel Giant Slalom,1.0,0.0,0.0,1.0,Ramona Theresia Hofmeister,1.0
GER,Nordic Combined,Men's Individual Normal Hill,0.0,1.0,0.0,1.0,Vinzenz Geiger,0.0
GER,Nordic Combined,Men's Individual Large Hill,0.0,0.0,1.0,1.0,Vinzenz Geiger,0.0
GER,Luge,Men's Singles Luge,0.0,1.0,0.0,1.0,Felix Loch,0.0
GER,Bobsleigh,Four-Man Bobsled,0.0,0.0,1.0,1.0,Francesco Friedrich,0.0
GER,Ice Hockey,Men's Ice Hockey,0.0,1.0,0.0,1.0,Team Germany,0.0
GER,Biathlon,Mixed Relay,1.0,0.0,0.0,1.0,Team Germany,1.0
GER,Nordic Combined,Men's Team Sprint,1.0,0.0,0.0,1.0,Team Germany,1.0
GER,Speed Skating,Women's Mass Start,1.0,0.0,0.0,1.0,Michelle Uhrig,1.0
HUN,Short Track Speed Skating,Men's 1500m,0.0,0.0,1.0,1.0,Liu Shaolin Sandor,0.0
IRL,Cross-Country Skiing,Men's 50km Mass Start,1.0,0.0,0.0,1.0,Westgaard Thomas Maloney,1.0
ITA,Alpine Skiing,Women's Downhill,0.0,1.0,0.0,1.0,Laura Pirovano,0.0
ITA,Cross-Country Skiing,Men's Skiathlon,0.0,0.0,1.0,1.0,Davide Graz,0.0
ITA,Biathlon,Men's 10km Sprint,1.0,0.0,0.0,1.0,Tommaso Giacomel,1.0
ITA,Biathlon,Men's 20km Individual,0.0,1.0,0.0,1.0,Tommaso Giacomel,0.0
ITA,Biathlon,Men's 15km Mass Start,1.0,0.0,0.0,1.0,Tommaso Giacomel,1.0
ITA,Freestyle Skiing,Men's Ski Cross,1.0,0.0,0.0,1.0,Simone Deromedis,1.0
ITA,Snowboard,Women's Snowboard Cross,0.0,0.0,1.0,1.0,Caterina Carpano,0.0
ITA,Snowboard,Men's Parallel Giant Slalom,1.0,0.0,0.0,1.0,Edwin Coratti,1.0
