competition,sport,athlete_name,country,score,relative_score,strength,gold_prob,silver_prob,bronze_prob,medal_prob
Men's 10km Sprint,Biathlon,Benedikt Doll,GER,200.0,0,0.068,0.0,1.0,0.0,1.0
Men's 10km Sprint,Biathlon,Dmytro Pidruchnyi,UKR,190.0,0,0.0614,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Sivert Guttorm Bakken,NOR,180.0,0,0.0551,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Felix Leitner,AUT,170.0,0,0.0491,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Michal Krcmar,CZE,160.0,0,0.0435,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Said Karimulla Khalili,AIN,150.0,0,0.0382,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Jesper Nelin,SWE,140.0,0,0.0333,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Tommaso Giacomel,ITA,767.0,0,1.0,1.0,0.0,0.0,1.0
Men's 12.5km Pursuit,Biathlon,Eric Perrot,FRA,744.0,0,0.9409,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Sebastian Samuelsson,SWE,640.0,0,0.6963,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Johan-Olav Botn,NOR,589.0,0,0.5897,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Johannes Dale-Skjevdal,NOR,501.0,0,0.4267,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Quentin Fillon Maillet,FRA,481.0,0,0.3933,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Martin Ponsiluoma,SWE,476.0,0,0.3851,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Emilien Jacquelin,FRA,445.0,0,0.3366,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Vetle Sjastad Christiansen,NOR,429.0,0,0.3128,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Sturla Holm Laegreid,NOR,404.0,0,0.2774,0.0,1.0,0.0,1.0
Men's 12.5km Pursuit,Biathlon,Philipp Nawrath,GER,385.0,0,0.252,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Martin Uldal,NOR,359.0,0,0.2191,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Campbell Wright,USA,339.0,0,0.1953,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Isak Frey,NOR,306.0,0,0.1592,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Lukas Hofer,ITA,295.0,0,0.1479,0.0,0.0,1.0,1.0
Men's 12.5km Pursuit,Biathlon,Fabien Claude,FRA,284.0,0,0.1371,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Philipp Horn,GER,274.0,0,0.1276,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Tarjei Boe,NOR,260.0,0,0.1149,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Johannes Thingnes Boe,NOR,250.0,0,0.1062,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Jakov Fak,SLO,240.0,0,0.0979,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Justus Strelow,GER,230.0,0,0.0899,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Simon Eder,AUT,220.0,0,0.0823,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Florent Claude,BEL,210.0,0,0.075,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Benedikt Doll,GER,200.0,0,0.068,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Dmytro Pidruchnyi,UKR,190.0,0,0.0614,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Sivert Guttorm Bakken,NOR,180.0,0,0.0551,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Felix Leitner,AUT,170.0,0,0.0491,0.0,0.0,0.0,0.0
Men's 12.5km Pursuit,Biathlon,Michal Krcmar,CZE,160.0,0,0.0435,0.0,0.0,0.0,0.0
