country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
SUI,Cross-Country Skiing,Men's 4x10km Relay,0.042,0.048,0.058,0.147,Team Switzerland,0.042
USA,Biathlon,Women's 4x6km Relay,0.043,0.048,0.055,0.147,Team USA,0.043
SUI,Biathlon,Men's 4x7.5km Relay,0.041,0.047,0.058,0.146,Team Switzerland,0.041
NZL,Alpine Skiing,Women's Giant Slalom,0.045,0.049,0.051,0.145,Alice Robinson,0.045
SUI,Cross-Country Skiing,Women's 4x5km Relay,0.041,0.047,0.055,0.144,Team Switzerland,0.041
CAN,Speed Skating,Men's 1500m,0.041,0.047,0.055,0.143,Connor Howe,0.038
SWE,Alpine Skiing,Women's Slalom,0.045,0.048,0.05,0.143,Larsson Anna Swenn,0.019
ITA,Speed Skating,Women's 1500m,0.041,0.047,0.053,0.142,Francesca Lollobrigida,0.041
NOR,Speed Skating,Women's 1500m,0.041,0.048,0.053,0.142,Ragne Wiklund,0.041
USA,Skeleton,Women's Skeleton,0.039,0.048,0.054,0.142,Katie Uhlaender,0.039
CRO,Alpine Skiing,Women's Slalom,0.045,0.047,0.049,0.14,Zrinka Ljutic,0.045
GBR,Freestyle Skiing,Men's Aerials,0.041,0.046,0.052,0.139,Lloyd Wallace,0.041
POL,Ski Jumping,Men's Team,0.028,0.045,0.066,0.139,Team Poland,0.028
AUT,Biathlon,Men's 4x7.5km Relay,0.036,0.044,0.051,0.131,Team Austria,0.036
SLO,Alpine Skiing,Women's Slalom,0.041,0.043,0.045,0.13,Ilka Stuhec,0.029
SWE,Freestyle Skiing,Women's Slopestyle,0.037,0.043,0.049,0.13,Jennie-Lee Burmansson,0.037
EST,Speed Skating,Men's 1000m,0.037,0.043,0.047,0.128,Marten Liiv,0.037
UKR,Freestyle Skiing,Women's Aerials,0.038,0.042,0.048,0.128,Olga Polyuk,0.038
SWE,Freestyle Skiing,Women's Big Air,0.037,0.042,0.048,0.127,Jennie-Lee Burmansson,0.037
BEL,Speed Skating,Men's 5000m,0.035,0.042,0.049,0.126,Bart Swings,0.035
ITA,Biathlon,Men's 4x7.5km Relay,0.036,0.04,0.048,0.125,Team Italy,0.036
USA,Cross-Country Skiing,Men's 4x10km Relay,0.035,0.041,0.049,0.125,Team USA,0.032
SUI,Ski Jumping,Men's Team,0.026,0.039,0.058,0.123,Team Switzerland,0.026
BEL,Speed Skating,Men's 10000m,0.033,0.04,0.049,0.122,Bart Swings,0.033
CAN,Speed Skating,Men's 1000m,0.035,0.041,0.046,0.122,Laurent Dubreuil,0.027
SLO,Alpine Skiing,Women's Giant Slalom,0.038,0.041,0.042,0.121,Ilka Stuhec,0.032
LAT,Bobsleigh,Four-Man Bobsled,0.035,0.04,0.043,0.118,Oskars Kibermanis,0.035
AUT,Biathlon,Mixed Relay,0.033,0.038,0.045,0.117,Team Austria,0.033
GER,Snowboard,Men's Halfpipe,0.035,0.038,0.044,0.117,Andre Hoeflich,0.035
LAT,Bobsleigh,Two-Man Bobsled,0.035,0.039,0.044,0.117,Oskars Kibermanis,0.035
SUI,Biathlon,Women's 12.5km Mass Start,0.037,0.038,0.041,0.115,Amy Baserga,0.024
JPN,Speed Skating,Women's 3000m,0.033,0.038,0.043,0.114,Momoka Horikawa,0.032
SLO,Alpine Skiing,Women's Downhill,0.036,0.038,0.04,0.114,Ilka Stuhec,0.036
SUI,Biathlon,Women's 7.5km Sprint,0.036,0.037,0.04,0.114,Amy Baserga,0.025
SUI,Biathlon,Women's 15km Individual,0.036,0.038,0.04,0.114,Amy Baserga,0.024
SUI,Biathlon,Women's 10km Pursuit,0.035,0.038,0.04,0.113,Amy Baserga,0.023
CAN,Alpine Skiing,Men's Super-G,0.033,0.036,0.041,0.11,Cameron Alexander,0.017
LAT,Luge,Women's Singles Luge,0.03,0.037,0.043,0.11,Eliza Tiruma,0.03
POL,Speed Skating,Men's 1000m,0.032,0.037,0.041,0.11,Damian Żurek,0.028
SLO,Alpine Skiing,Women's Super-G,0.034,0.037,0.039,0.11,Ilka Stuhec,0.034
AUT,Cross-Country Skiing,Men's Sprint,0.036,0.037,0.037,0.109,Mika Vermeulen,0.033
AUT,Biathlon,Women's 4x6km Relay,0.031,0.035,0.042,0.109,Team Austria,0.031
HUN,Speed Skating,Men's 1500m,0.032,0.036,0.041,0.109,Min-Seok Kim,0.032
KAZ,Freestyle Skiing,Women's Moguls,0.029,0.035,0.045,0.109,Anastassiya Gorodko,0.029
CAN,Alpine Skiing,Men's Giant Slalom,0.032,0.036,0.04,0.108,Cameron Alexander,0.017
CAN,Alpine Skiing,Men's Downhill,0.032,0.036,0.039,0.108,Cameron Alexander,0.017
CHN,Speed Skating,Women's 3000m,0.032,0.035,0.041,0.108,Binyu Yang,0.029
JPN,Speed Skating,Women's Mass Start,0.031,0.036,0.041,0.108,Ayano Sato,0.019
KAZ,Freestyle Skiing,Women's Dual Moguls,0.029,0.036,0.044,0.108,Anastassiya Gorodko,0.029
GER,Speed Skating,Men's 1000m,0.031,0.035,0.04,0.106,Moritz Klein,0.017
AUT,Cross-Country Skiing,Men's Skiathlon,0.034,0.034,0.036,0.104,Mika Vermeulen,0.034
AUT,Cross-Country Skiing,Men's 15km,0.033,0.033,0.036,0.103,Mika Vermeulen,0.033
CAN,Alpine Skiing,Men's Slalom,0.031,0.034,0.038,0.103,Cameron Alexander,0.016
CZE,Speed Skating,Men's 5000m,0.028,0.034,0.04,0.103,Metoděj Jílek,0.028
AUT,Cross-Country Skiing,Men's 50km Mass Start,0.033,0.034,0.034,0.102,Mika Vermeulen,0.033
ITA,Cross-Country Skiing,Women's 4x5km Relay,0.028,0.033,0.04,0.102,Team Italy,0.027
ITA,Alpine Skiing,Men's Super-G,0.029,0.034,0.038,0.101,Mattia Casse,0.013
AUT,Cross-Country Skiing,Women's Sprint,0.032,0.034,0.033,0.099,Teresa Stadlober,0.032
AUT,Freestyle Skiing,Men's Ski Cross,0.03,0.033,0.037,0.099,Adam Kappacher,0.03
CAN,Ski Jumping,Mixed Team,0.025,0.031,0.043,0.099,Team Canada,0.025
CHN,Speed Skating,Women's 5000m,0.027,0.032,0.04,0.099,Binyu Yang,0.027
FRA,Speed Skating,Men's 5000m,0.027,0.033,0.039,0.099,Timothy Loubineaud,0.027
SLO,Alpine Skiing,Men's Downhill,0.029,0.033,0.037,0.099,Miha Hrobat,0.019
GER,Cross-Country Skiing,Men's Sprint,0.032,0.033,0.033,0.098,Friedrich Moch,0.028
AUT,Cross-Country Skiing,Women's 10km,0.031,0.033,0.032,0.096,Teresa Stadlober,0.031
AUT,Cross-Country Skiing,Women's Skiathlon,0.03,0.032,0.033,0.095,Teresa Stadlober,0.03
AUT,Cross-Country Skiing,Women's 50km Mass Start,0.03,0.032,0.032,0.095,Teresa Stadlober,0.03
GER,Cross-Country Skiing,Men's Team Sprint,0.026,0.031,0.037,0.095,Team Germany,0.023
USA,Alpine Skiing,Men's Downhill,0.028,0.032,0.035,0.095,Travis Ganong,0.011
AUT,Cross-Country Skiing,Women's Team Sprint,0.027,0.03,0.036,0.093,Team Austria,0.027
EST,Speed Skating,Men's 500m,0.028,0.03,0.035,0.093,Marten Liiv,0.028
GER,Cross-Country Skiing,Men's 15km,0.03,0.03,0.031,0.091,Friedrich Moch,0.03
AUT,Freestyle Skiing,Women's Ski Cross,0.027,0.029,0.034,0.09,Andrea Limbacher,0.027
GER,Cross-Country Skiing,Men's 50km Mass Start,0.029,0.031,0.031,0.09,Friedrich Moch,0.029
KAZ,Speed Skating,Men's 500m,0.027,0.03,0.033,0.09,Yevgeniy Koshkin,0.027
GER,Cross-Country Skiing,Men's Skiathlon,0.028,0.03,0.031,0.089,Friedrich Moch,0.028
POL,Ski Jumping,Men's Normal Hill Individual,0.027,0.029,0.032,0.088,Dawid Kubacki,0.012
POL,Ski Jumping,Men's Large Hill Individual,0.026,0.03,0.032,0.088,Dawid Kubacki,0.012
FRA,Freestyle Skiing,Men's Halfpipe,0.025,0.029,0.033,0.087,Kevin Rolland,0.025
CZE,Biathlon,Mixed Relay,0.025,0.028,0.032,0.085,Team Czechia,0.025
ITA,Alpine Skiing,Men's Giant Slalom,0.024,0.029,0.031,0.084,Aliprandini Luca De,0.01
AUT,Cross-Country Skiing,Women's 4x5km Relay,0.022,0.026,0.033,0.082,Team Austria,0.018
USA,Biathlon,Men's 15km Mass Start,0.026,0.027,0.029,0.082,Campbell Wright,0.026
SWE,Alpine Skiing,Women's Giant Slalom,0.025,0.027,0.029,0.081,Sara Hector,0.02
SWE,Alpine Skiing,Women's Downhill,0.025,0.027,0.029,0.081,Sara Hector,0.022
USA,Biathlon,Men's 12.5km Pursuit,0.025,0.027,0.029,0.081,Campbell Wright,0.025
SUI,Cross-Country Skiing,Women's Team Sprint,0.023,0.026,0.031,0.08,Nadine Faehndrich,0.01
SVK,Alpine Skiing,Women's Downhill,0.025,0.026,0.029,0.08,Petra Vlhova,0.025
USA,Alpine Skiing,Men's Super-G,0.023,0.027,0.03,0.08,Travis Ganong,0.011
USA,Biathlon,Men's 10km Sprint,0.025,0.027,0.028,0.08,Campbell Wright,0.025
USA,Biathlon,Men's 20km Individual,0.025,0.027,0.028,0.08,Campbell Wright,0.025
SWE,Alpine Skiing,Women's Super-G,0.025,0.026,0.028,0.079,Sara Hector,0.021
ALB,Alpine Skiing,Women's Giant Slalom,0.025,0.025,0.028,0.078,Lara Colturi,0.025
SVK,Alpine Skiing,Women's Super-G,0.024,0.026,0.028,0.078,Petra Vlhova,0.024
USA,Alpine Skiing,Men's Slalom,0.023,0.026,0.028,0.078,Travis Ganong,0.011
CZE,Biathlon,Women's 4x6km Relay,0.021,0.025,0.03,0.076,Team Czechia,0.021
BEL,Speed Skating,Women's Mass Start,0.021,0.025,0.029,0.074,Fran Vanhoutte,0.011
GER,Speed Skating,Men's 1500m,0.02,0.024,0.029,0.073,Stefan Emele,0.018
FRA,Cross-Country Skiing,Women's 10km,0.024,0.024,0.024,0.072,Delphine Claudel,0.014
SVK,Alpine Skiing,Women's Giant Slalom,0.023,0.024,0.026,0.072,Petra Vlhova,0.023
FRA,Cross-Country Skiing,Women's Skiathlon,0.023,0.023,0.025,0.071,Delphine Claudel,0.014
FRA,Cross-Country Skiing,Women's 50km Mass Start,0.023,0.024,0.024,0.071,Delphine Claudel,0.014
GER,Speed Skating,Men's 10000m,0.018,0.023,0.028,0.07,Patrick Beckert,0.018
USA,Speed Skating,Men's Mass Start,0.022,0.024,0.024,0.07,Ethan Cepuran,0.022
CZE,Biathlon,Women's 12.5km Mass Start,0.021,0.023,0.025,0.069,Marketa Davidova,0.011
SUI,Ski Jumping,Mixed Team,0.017,0.021,0.03,0.068,Team Switzerland,0.017
CZE,Biathlon,Women's 15km Individual,0.021,0.022,0.024,0.067,Marketa Davidova,0.011
CZE,Biathlon,Women's 10km Pursuit,0.021,0.023,0.024,0.067,Marketa Davidova,0.011
CZE,Biathlon,Women's 7.5km Sprint,0.021,0.022,0.023,0.066,Marketa Davidova,0.011
FRA,Freestyle Skiing,Women's Ski Cross,0.02,0.021,0.025,0.066,Alizee Baron,0.02
SVK,Alpine Skiing,Women's Slalom,0.02,0.022,0.023,0.065,Petra Vlhova,0.02
AUT,Speed Skating,Men's Mass Start,0.02,0.021,0.022,0.063,Gabriel Odor,0.02
BEL,Speed Skating,Women's 1500m,0.018,0.021,0.024,0.063,Isabelle Van Elst,0.018
FRA,Nordic Combined,Men's Team Sprint,0.014,0.019,0.029,0.063,Team France,0.014
USA,Alpine Skiing,Men's Giant Slalom,0.017,0.021,0.023,0.061,Travis Ganong,0.011
JPN,Speed Skating,Men's Mass Start,0.019,0.019,0.021,0.059,Shomu Sasaki,0.017
CAN,Speed Skating,Men's Mass Start,0.018,0.019,0.021,0.058,David La Rue,0.017
ITA,Alpine Skiing,Men's Downhill,0.018,0.019,0.021,0.058,Dominik Paris,0.009
ITA,Speed Skating,Men's 1500m,0.016,0.02,0.022,0.058,Daniele Di Stefano,0.016
JPN,Speed Skating,Women's 5000m,0.016,0.019,0.023,0.058,Momoka Horikawa,0.016
UKR,Short Track Speed Skating,Men's 1000m,0.017,0.019,0.022,0.058,Oleh Handei,0.017
UKR,Short Track Speed Skating,Men's 1500m,0.018,0.019,0.021,0.058,Oleh Handei,0.018
AUT,Biathlon,Men's 20km Individual,0.018,0.019,0.02,0.057,Simon Eder,0.011
CHN,Speed Skating,Women's 500m,0.017,0.018,0.021,0.057,Ruining Tian,0.017
GER,Alpine Skiing,Men's Slalom,0.017,0.019,0.021,0.057,Linus Strasser,0.017
UKR,Short Track Speed Skating,Men's 500m,0.017,0.018,0.022,0.057,Oleh Handei,0.017
AUT,Biathlon,Men's 15km Mass Start,0.017,0.019,0.02,0.056,Simon Eder,0.011
KAZ,Speed Skating,Women's 500m,0.017,0.019,0.02,0.056,Kristina Silaeva,0.017
AUT,Biathlon,Men's 10km Sprint,0.018,0.018,0.02,0.055,Simon Eder,0.011
AUT,Biathlon,Men's 12.5km Pursuit,0.017,0.019,0.019,0.055,Simon Eder,0.011
FRA,Cross-Country Skiing,Women's Sprint,0.017,0.018,0.02,0.055,Delphine Claudel,0.014
ITA,Alpine Skiing,Men's Slalom,0.016,0.019,0.02,0.055,Dominik Paris,0.008
SUI,Cross-Country Skiing,Men's Team Sprint,0.014,0.017,0.022,0.054,Team Switzerland,0.006
NOR,Speed Skating,Men's 500m,0.016,0.017,0.02,0.053,Bjørn Magnussen,0.015
POL,Speed Skating,Women's Mass Start,0.015,0.017,0.02,0.052,Natalia Jabrzyk,0.015
HUN,Speed Skating,Men's 1000m,0.015,0.016,0.019,0.05,Min-Seok Kim,0.015
SUI,Cross-Country Skiing,Women's Sprint,0.015,0.016,0.017,0.048,Nadine Faehndrich,0.011
KAZ,Speed Skating,Women's 1000m,0.013,0.016,0.019,0.047,Nadezhda Morozova,0.013
CAN,Speed Skating,Women's 500m,0.014,0.015,0.017,0.045,Carolina Hiller-Donnelly,0.014
NOR,Freestyle Skiing,Women's Dual Moguls,0.011,0.015,0.018,0.044,Hedda Berntsen,0.011
CZE,Speed Skating,Women's 1500m,0.012,0.014,0.017,0.043,Martina Sáblíková,0.008
NOR,Freestyle Skiing,Women's Moguls,0.012,0.014,0.017,0.043,Hedda Berntsen,0.012
NOR,Freestyle Skiing,Men's Ski Cross,0.013,0.014,0.016,0.043,Kristoffer Haugen,0.013
SWE,Freestyle Skiing,Women's Moguls,0.011,0.014,0.018,0.043,Moa Backlund,0.007
SWE,Freestyle Skiing,Women's Dual Moguls,0.011,0.014,0.018,0.043,Moa Backlund,0.007
CAN,Speed Skating,Women's 1000m,0.011,0.014,0.017,0.042,Béatrice Lamarche,0.011
CRO,Alpine Skiing,Men's Slalom,0.012,0.015,0.016,0.042,Samuel Kolega,0.009
SLO,Alpine Skiing,Men's Super-G,0.012,0.014,0.016,0.042,Zan Kranjec,0.006
SLO,Biathlon,Men's 12.5km Pursuit,0.013,0.014,0.015,0.042,Jakov Fak,0.013
CRO,Alpine Skiing,Women's Giant Slalom,0.013,0.014,0.015,0.041,Zrinka Ljutic,0.013
FRA,Alpine Skiing,Women's Super-G,0.012,0.014,0.015,0.041,Romane Miradoli,0.011
SLO,Biathlon,Men's 20km Individual,0.013,0.014,0.015,0.041,Jakov Fak,0.013
SLO,Biathlon,Men's 15km Mass Start,0.013,0.014,0.015,0.041,Jakov Fak,0.013
GBR,Cross-Country Skiing,Men's Skiathlon,0.013,0.013,0.014,0.04,Andrew Musgrave,0.013
GBR,Cross-Country Skiing,Men's 15km,0.013,0.013,0.014,0.04,Andrew Musgrave,0.013
SLO,Biathlon,Men's 10km Sprint,0.012,0.014,0.015,0.04,Jakov Fak,0.012
USA,Nordic Combined,Men's Team Sprint,0.009,0.012,0.019,0.04,Team USA,0.009
GBR,Cross-Country Skiing,Men's Sprint,0.012,0.013,0.013,0.039,Andrew Musgrave,0.012
GBR,Cross-Country Skiing,Men's 50km Mass Start,0.013,0.013,0.013,0.039,Andrew Musgrave,0.013
ALB,Alpine Skiing,Women's Slalom,0.012,0.013,0.013,0.038,Lara Colturi,0.012
KOR,Speed Skating,Women's Mass Start,0.011,0.013,0.014,0.038,Ji-Woo Park,0.011
CZE,Cross-Country Skiing,Women's 10km,0.011,0.012,0.013,0.037,Katerina Janatova,0.011
CZE,Cross-Country Skiing,Women's 50km Mass Start,0.012,0.012,0.013,0.037,Katerina Janatova,0.012
SUI,Cross-Country Skiing,Men's Sprint,0.011,0.013,0.013,0.037,Valerio Grond,0.007
CAN,Alpine Skiing,Women's Giant Slalom,0.011,0.012,0.013,0.036,Valerie Grenier,0.005
CZE,Cross-Country Skiing,Women's Skiathlon,0.012,0.012,0.013,0.036,Katerina Janatova,0.012
IRL,Cross-Country Skiing,Men's 15km,0.011,0.012,0.012,0.035,Thomas Maloney Westgaard,0.006
IRL,Cross-Country Skiing,Men's 50km Mass Start,0.011,0.011,0.013,0.035,Thomas Maloney Westgaard,0.007
IRL,Cross-Country Skiing,Men's Skiathlon,0.011,0.011,0.012,0.034,Thomas Maloney Westgaard,0.006
BUL,Alpine Skiing,Men's Slalom,0.009,0.011,0.012,0.033,Albert Popov,0.009
CZE,Cross-Country Skiing,Men's Sprint,0.01,0.011,0.012,0.033,Michal Novak,0.008
FRA,Ski Jumping,Women's Normal Hill Individual,0.009,0.011,0.013,0.033,Josephine Pagnier,0.008
GER,Speed Skating,Men's 5000m,0.009,0.011,0.013,0.033,Felix Maly,0.006
KOR,Speed Skating,Women's 1000m,0.009,0.01,0.014,0.033,Min Sun Kim,0.008
SUI,Cross-Country Skiing,Women's Skiathlon,0.01,0.011,0.012,0.033,Nadine Faehndrich,0.01
SUI,Cross-Country Skiing,Women's 50km Mass Start,0.011,0.011,0.012,0.033,Nadine Faehndrich,0.011
BEL,Biathlon,Men's 10km Sprint,0.01,0.01,0.011,0.032,Florent Claude,0.01
BEL,Biathlon,Men's 12.5km Pursuit,0.01,0.011,0.011,0.032,Florent Claude,0.01
BEL,Biathlon,Men's 15km Mass Start,0.01,0.011,0.011,0.032,Florent Claude,0.01
CHN,Speed Skating,Men's 5000m,0.009,0.011,0.012,0.032,Yu Wu,0.009
FRA,Ski Jumping,Women's Large Hill Individual,0.009,0.01,0.012,0.032,Josephine Pagnier,0.008
NOR,Freestyle Skiing,Men's Moguls,0.01,0.01,0.011,0.032,Birk Ruud,0.01
NOR,Freestyle Skiing,Men's Dual Moguls,0.01,0.01,0.012,0.032,Birk Ruud,0.01
SLO,Alpine Skiing,Men's Giant Slalom,0.009,0.011,0.012,0.032,Zan Kranjec,0.006
SUI,Cross-Country Skiing,Women's 10km,0.011,0.011,0.011,0.032,Nadine Faehndrich,0.011
BEL,Biathlon,Men's 20km Individual,0.01,0.01,0.011,0.031,Florent Claude,0.01
CZE,Alpine Skiing,Women's Downhill,0.01,0.01,0.011,0.031,Ester Ledecka,0.01
CHN,Speed Skating,Men's 500m,0.009,0.01,0.011,0.03,Tingyu Gao,0.006
CZE,Alpine Skiing,Women's Super-G,0.009,0.01,0.011,0.03,Ester Ledecka,0.009
NOR,Speed Skating,Men's Mass Start,0.01,0.009,0.011,0.03,Allan Dahl Johansson,0.005
SLO,Alpine Skiing,Men's Slalom,0.009,0.01,0.011,0.03,Zan Kranjec,0.006
AUT,Speed Skating,Women's 500m,0.009,0.009,0.011,0.029,Vanessa Herzog,0.009
CZE,Cross-Country Skiing,Men's 15km,0.009,0.009,0.01,0.029,Michal Novak,0.009
ITA,Cross-Country Skiing,Women's Sprint,0.009,0.009,0.01,0.029,Caterina Ganz,0.007
CZE,Cross-Country Skiing,Men's Skiathlon,0.009,0.009,0.01,0.028,Michal Novak,0.009
CZE,Cross-Country Skiing,Men's 50km Mass Start,0.009,0.009,0.01,0.028,Michal Novak,0.009
AUT,Speed Skating,Women's 1000m,0.007,0.009,0.011,0.027,Vanessa Herzog,0.007
CZE,Alpine Skiing,Women's Giant Slalom,0.008,0.009,0.01,0.027,Ester Ledecka,0.008
UKR,Biathlon,Men's 20km Individual,0.008,0.009,0.009,0.027,Dmytro Pidruchnyi,0.008
UKR,Biathlon,Men's 12.5km Pursuit,0.008,0.009,0.01,0.027,Dmytro Pidruchnyi,0.008
AIN,Biathlon,Women's 15km Individual,0.008,0.008,0.009,0.026,Daria Krykova-Budasheva,0.008
AUS,Cross-Country Skiing,Women's Sprint,0.009,0.009,0.009,0.026,Jessica Yeaton,0.009
ITA,Cross-Country Skiing,Women's Team Sprint,0.007,0.009,0.01,0.026,Team Italy,0.005
UKR,Biathlon,Men's 15km Mass Start,0.008,0.009,0.009,0.026,Dmytro Pidruchnyi,0.008
AIN,Biathlon,Women's 7.5km Sprint,0.007,0.009,0.009,0.025,Daria Krykova-Budasheva,0.007
AIN,Biathlon,Women's 10km Pursuit,0.008,0.008,0.009,0.025,Daria Krykova-Budasheva,0.008
AIN,Biathlon,Women's 12.5km Mass Start,0.008,0.009,0.009,0.025,Daria Krykova-Budasheva,0.008
AUS,Cross-Country Skiing,Women's Skiathlon,0.008,0.008,0.009,0.025,Jessica Yeaton,0.008
AUS,Cross-Country Skiing,Women's 50km Mass Start,0.008,0.008,0.009,0.025,Jessica Yeaton,0.008
BEL,Speed Skating,Men's 1500m,0.007,0.008,0.01,0.025,Bart Swings,0.007
CZE,Alpine Skiing,Women's Slalom,0.008,0.008,0.009,0.025,Ester Ledecka,0.008
GER,Speed Skating,Women's 3000m,0.007,0.008,0.01,0.025,Josie Hofmann,0.007
ITA,Speed Skating,Women's 500m,0.008,0.008,0.009,0.025,Serena Pergher,0.008
UKR,Biathlon,Men's 10km Sprint,0.008,0.009,0.009,0.025,Dmytro Pidruchnyi,0.008
AUS,Cross-Country Skiing,Women's 10km,0.007,0.008,0.009,0.024,Jessica Yeaton,0.007
CAN,Alpine Skiing,Women's Slalom,0.007,0.008,0.008,0.024,Marie-Michele Gagnon,0.004
GBR,Alpine Skiing,Men's Slalom,0.007,0.008,0.009,0.024,Dave Ryding,0.007
ITA,Nordic Combined,Men's Team Sprint,0.005,0.007,0.01,0.022,Team Italy,0.005
SUI,Cross-Country Skiing,Men's Skiathlon,0.007,0.007,0.008,0.022,Valerio Grond,0.007
SUI,Cross-Country Skiing,Men's 15km,0.007,0.007,0.008,0.022,Valerio Grond,0.007
SWE,Alpine Skiing,Men's Slalom,0.006,0.007,0.008,0.022,Kristoffer Jakobsen,0.006
CZE,Speed Skating,Women's 1000m,0.006,0.007,0.008,0.021,Nikola Zdráhalova,0.006
ITA,Cross-Country Skiing,Women's 50km Mass Start,0.007,0.007,0.007,0.021,Caterina Ganz,0.007
SUI,Cross-Country Skiing,Men's 50km Mass Start,0.007,0.007,0.007,0.021,Valerio Grond,0.007
IRL,Cross-Country Skiing,Men's Sprint,0.006,0.007,0.007,0.02,Thomas Maloney Westgaard,0.006
ITA,Cross-Country Skiing,Women's 10km,0.006,0.007,0.007,0.02,Caterina Ganz,0.006
JPN,Speed Skating,Men's 5000m,0.006,0.006,0.008,0.02,Seitaro Ichinohe,0.005
CZE,Biathlon,Men's 20km Individual,0.006,0.006,0.007,0.019,Michal Krcmar,0.006
CZE,Biathlon,Men's 12.5km Pursuit,0.006,0.006,0.007,0.019,Michal Krcmar,0.006
GER,Speed Skating,Women's 1000m,0.005,0.006,0.008,0.019,Lea Sophie Scholz,0.005
ITA,Cross-Country Skiing,Women's Skiathlon,0.006,0.007,0.007,0.019,Caterina Ganz,0.006
NZL,Alpine Skiing,Women's Super-G,0.006,0.006,0.007,0.019,Alice Robinson,0.006
CZE,Cross-Country Skiing,Women's Sprint,0.006,0.006,0.006,0.018,Katerina Janatova,0.006
CZE,Biathlon,Men's 10km Sprint,0.006,0.006,0.006,0.018,Michal Krcmar,0.006
CZE,Biathlon,Men's 15km Mass Start,0.005,0.006,0.006,0.018,Michal Krcmar,0.005
AIN,Biathlon,Men's 15km Mass Start,0.005,0.006,0.006,0.017,Said Karimulla Khalili,0.005
BEL,Speed Skating,Men's 1000m,0.005,0.006,0.007,0.017,Mathias Vosté,0.005
CAN,Alpine Skiing,Women's Super-G,0.006,0.006,0.006,0.017,Marie-Michele Gagnon,0.005
AIN,Biathlon,Men's 10km Sprint,0.005,0.005,0.006,0.016,Said Karimulla Khalili,0.005
AIN,Biathlon,Men's 20km Individual,0.005,0.005,0.006,0.016,Said Karimulla Khalili,0.005
AIN,Biathlon,Men's 12.5km Pursuit,0.005,0.005,0.006,0.016,Said Karimulla Khalili,0.005
AND,Alpine Skiing,Men's Giant Slalom,0.005,0.005,0.006,0.016,Joan Verdu,0.005
BEL,Speed Skating,Women's 1000m,0.004,0.005,0.007,0.016,Isabelle Van Elst,0.004
CAN,Alpine Skiing,Women's Downhill,0.005,0.005,0.006,0.016,Marie-Michele Gagnon,0.005
CZE,Cross-Country Skiing,Women's Team Sprint,0.005,0.005,0.006,0.016,Katerina Janatova,0.005
CAN,Cross-Country Skiing,Women's 10km,0.005,0.005,0.005,0.015,Katherine Stewart-Jones,0.005
BEL,Alpine Skiing,Men's Slalom,0.005,0.005,0.005,0.014,Armand Marchant,0.005
BEL,Speed Skating,Women's 3000m,0.004,0.005,0.005,0.014,Sandrine Tas,0.004
CAN,Cross-Country Skiing,Women's Skiathlon,0.005,0.005,0.005,0.014,Katherine Stewart-Jones,0.005
CAN,Cross-Country Skiing,Women's 50km Mass Start,0.005,0.005,0.005,0.014,Katherine Stewart-Jones,0.005
FRA,Ski Jumping,Mixed Team,0.003,0.005,0.006,0.014,Team France,0.003
POL,Speed Skating,Men's 5000m,0.004,0.005,0.006,0.014,Vladimir Semirunniy,0.004
SLO,Cross-Country Skiing,Women's Sprint,0.004,0.004,0.005,0.014,Anamarija Lampic,0.004
SLO,Cross-Country Skiing,Women's Skiathlon,0.004,0.005,0.005,0.014,Anamarija Lampic,0.004
SLO,Cross-Country Skiing,Women's 10km,0.004,0.005,0.005,0.014,Anamarija Lampic,0.004
SLO,Cross-Country Skiing,Women's 50km Mass Start,0.005,0.005,0.005,0.014,Anamarija Lampic,0.005
CRO,Alpine Skiing,Men's Giant Slalom,0.003,0.004,0.005,0.013,Filip Zubcic,0.003
GER,Speed Skating,Women's 500m,0.004,0.004,0.005,0.013,Sophie Warmuth,0.004
NOR,Speed Skating,Women's Mass Start,0.003,0.005,0.005,0.013,Aurora Grinden Løvås,0.003
CRO,Alpine Skiing,Men's Super-G,0.003,0.004,0.005,0.012,Filip Zubcic,0.003
CRO,Alpine Skiing,Men's Downhill,0.004,0.004,0.005,0.012,Filip Zubcic,0.004
GER,Alpine Skiing,Men's Giant Slalom,0.003,0.004,0.004,0.011,Anton Grammel,0.002
POL,Speed Skating,Men's Mass Start,0.003,0.004,0.004,0.011,Szymon Palka,0.003
BEL,Alpine Skiing,Men's Giant Slalom,0.003,0.004,0.004,0.01,Sam Maes,0.003
ESP,Cross-Country Skiing,Men's Sprint,0.003,0.003,0.004,0.01,Jaume Pueyo,0.003
