country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
NED,Short Track Speed Skating,Women's 1000m,0.26,0.258,0.253,0.771,Xandra Velzeboer,0.159
NED,Short Track Speed Skating,Women's 1500m,0.262,0.256,0.252,0.77,Xandra Velzeboer,0.161
KOR,Short Track Speed Skating,Women's 1500m,0.261,0.256,0.252,0.769,Kim Gil-li,0.141
SWE,Freestyle Skiing,Women's Ski Cross,0.256,0.257,0.255,0.769,Sandra Naeslund,0.158
CAN,Freestyle Skiing,Women's Slopestyle,0.253,0.257,0.258,0.768,Megan Oldham,0.149
SWE,Freestyle Skiing,Men's Dual Moguls,0.243,0.257,0.268,0.768,Walter Wallberg,0.087
AUT,Ski Jumping,Mixed Team,0.305,0.259,0.202,0.766,Team Austria,0.305
SLO,Ski Jumping,Women's Large Hill Individual,0.298,0.254,0.214,0.766,Nika Prevc,0.254
SLO,Ski Jumping,Women's Normal Hill Individual,0.296,0.252,0.216,0.764,Nika Prevc,0.25
AUT,Nordic Combined,Men's Team Sprint,0.268,0.271,0.221,0.76,Team Austria,0.268
SWE,Freestyle Skiing,Men's Moguls,0.239,0.253,0.269,0.76,Walter Wallberg,0.086
NOR,Freestyle Skiing,Men's Slopestyle,0.264,0.25,0.239,0.753,Birk Ruud,0.199
NOR,Freestyle Skiing,Men's Big Air,0.263,0.252,0.236,0.751,Birk Ruud,0.198
ITA,Snowboard,Women's Snowboard Cross,0.241,0.245,0.26,0.746,Caterina Carpano,0.132
CAN,Curling,Women's Curling,0.285,0.258,0.202,0.745,Rachel Homan,0.285
ITA,Snowboard,Men's Parallel Giant Slalom,0.241,0.247,0.257,0.745,Roland Fischnaller,0.161
AUS,Snowboard,Men's Halfpipe,0.252,0.247,0.243,0.742,Valentino Guseli,0.179
GER,Skeleton,Women's Skeleton,0.237,0.248,0.257,0.742,Tina Hermann,0.159
KOR,Short Track Speed Skating,Men's 1500m,0.25,0.246,0.243,0.739,Park Ji-won,0.134
KOR,Short Track Speed Skating,Men's 1000m,0.247,0.248,0.241,0.737,Park Ji-won,0.133
NOR,Speed Skating,Men's 5000m,0.308,0.242,0.186,0.737,Sander Eitrem,0.297
CAN,Short Track Speed Skating,Men's 1000m,0.255,0.244,0.238,0.736,William Dandjinou,0.178
GER,Skeleton,Men's Skeleton,0.232,0.244,0.258,0.734,Christopher Grotheer,0.13
KOR,Short Track Speed Skating,Men's 500m,0.247,0.245,0.242,0.734,Park Ji-won,0.133
CAN,Short Track Speed Skating,Men's 500m,0.251,0.244,0.237,0.732,William Dandjinou,0.175
CAN,Short Track Speed Skating,Men's 1500m,0.252,0.244,0.235,0.732,William Dandjinou,0.174
CAN,Freestyle Skiing,Men's Ski Cross,0.259,0.242,0.223,0.724,Reece Howden,0.207
JPN,Speed Skating,Women's 1500m,0.293,0.236,0.188,0.717,Miho Takagi,0.277
KOR,Figure Skating,Women's Singles,0.23,0.239,0.247,0.717,Kim Ye-lim,0.094
NOR,Cross-Country Skiing,Women's 4x5km Relay,0.258,0.239,0.219,0.715,Team Norway,0.232
CAN,Snowboard,Men's Snowboard Cross,0.305,0.235,0.172,0.712,Eliot Grondin,0.305
FRA,Biathlon,Men's 10km Sprint,0.24,0.239,0.232,0.71,Eric Perrot,0.124
USA,Freestyle Skiing,Women's Aerials,0.234,0.237,0.239,0.709,Winter Vinecki,0.124
NOR,Speed Skating,Women's 3000m,0.31,0.231,0.165,0.706,Ragne Wiklund,0.31
FRA,Biathlon,Men's 15km Mass Start,0.24,0.235,0.229,0.705,Eric Perrot,0.124
SLO,Ski Jumping,Mixed Team,0.255,0.24,0.21,0.705,Team Slovenia,0.255
FRA,Biathlon,Men's 20km Individual,0.239,0.235,0.23,0.704,Eric Perrot,0.124
FRA,Biathlon,Men's 12.5km Pursuit,0.242,0.233,0.229,0.704,Eric Perrot,0.125
